"vendor_id","vendor_address","Geohash","permitType",lastCheckup,"vendorName","vendor_id"
"NA","13215 N US 183 HWY SVRD NB, AUSTIN, TX 78729","9v6mnvup","Mobile Food","04-20-2023","COA - GBJB'S","22225"
"(240) 917-8228","811 W ST JOHNS AVE, AUSTIN, TX 78757","9v6s8754","Mobile Food","06-13-2024","COA - AUSTIN ASIAN FOOD TRUCK #4","23936", 
"NA","1805 E 7TH ST, AUSTIN, TX 78702","9v6s0m0k","Mobile Food","03-10-2023","COA - POE'S FUEGO ","633559", 
"NA","8213 BRODIE LN, AUSTIN, TX 78745","9v67v9u2","Mobile Food","09-21-2023","COA - BUY TACOS BE HAPPY","22902", 
"NA","2512 RIO GRANDE ST AUSTIN, TX 78705 ","9v6krf0x","Mobile Food","12-05-2023","COA - ATX GYRO 2","22927", 
"NA","1106 E 11TH ST, AUSTIN, TX 78702","9v6s0nk6","Mobile Food","05-09-2023","OOB - COA - AWESOME HALAL AND GYRO","22297", 
"NA","8807 N LAMAR BLVD, AUSTIN, TX 78753","9v6s8y0r","Mobile Food","01-09-2024","COA - MORALES L TEXMEX FOOD","23254", 
"NA","1606 E 6TH ST, AUSTIN, TX 78702","9v6s0jnp","Mobile Food","03-09-2024","COA - SHIRLEY'S TRINI CUISINE","22705", 
"NA","1019 REINLI ST, AUSTIN, TX 78723","9v6s2xhe","Mobile Food","01-25-2024","COA - VARIEDADES MARQUEZ","23331", 
"NA","112 WILL DAVIS DR AUSTIN, TX 78752 ","9v6s82yz","Mobile Food","03-30-2023","COA - SNAPPY SNACKS 123","21001", 
"NA","408 RUNDBERG LN , AUSTIN, TX 78753","9v6s9nb5","Mobile Food","04-02-2024","COA - RICURAS PROGRESENAS","23753", 
"NA","8711 N LAMAR BLVD, AUSTIN, TX 78753","9v6s8wp3","Mobile Food","04-20-2023","COA - EL SUPER POLLO ATX","22223", 
"(512) 822-5909","1124 AIRPORT BLVD, AUSTIN, TX 78702","9v6s0vgg","Mobile Food","10-19-2023","COA - RANCHERITOS TACOS Y MAS","23036", 
"NA","5000 BURNET RD, AUSTIN, TX 78756","9v6krzu3","Mobile Food","12-14-2023","COA - T-LOC'S SONORA HOT DOGS #2","22981", 
"NA","1819 E 12TH ST AUSTIN, TX 78702 ","9v6s0r4k","Mobile Food","09-23-2023","COA - ARCHIE'S BBQ","22271", 
"NA","4545 S LAMAR BLVD NB, AUSTIN, TX 78745","9v67yrx2","Mobile Food","12-01-2023","COA - MOUSAM SPICE HOUSE LLC","22747", 
"NA","2300 E BEN WHITE BLVD SVRD WB AUSTIN, TX 78741 ","9v67zutn","Mobile Food","05-14-2024","COA - EL A'S DEL TACO","23711", 
"NA","2400 PATTERSON INDUSTRIAL DR, AUSTIN, TX 78660","9v6sfqt0","Mobile Food","10-05-2023","COA - BIG COUNTRY BREWING CO.","22451", 
"(512) 831-9863","1720 BARTON SPRINGS RD, AUSTIN, TX 78704","9v6kpm71","Mobile Food","04-14-2024","COA - ATX CUCINA #1","22537", 
"NA","907 KRAMER LN, AUSTIN, TX 78758","9v6sbfxs","Mobile Food","10-12-2023","COA - PHO 63 LLC","23002", 
"(512) 466-5454","1631 BARTON SPRINGS RD, AUSTIN, TX 78704","9v6kpm5k","Mobile Food","04-25-2024","COA - RASPAS LOCAS Y MAS","23667", 
"(512) 783-1268","4600 TERI RD, AUSTIN, TX 78744","9v67zc1r","Mobile Food","01-02-2024","COA - TAQUERIA KING","23327", 
"NA","1109 S LAMAR BLVD, AUSTIN, TX 78704","9v6kp7gb","Mobile Food","08-24-2023","OOB - COA - JEWBOY SLIDERS SOUTH LAMAR","22848", 
"NA","601 W LIVE OAK ST, AUSTIN, TX 78704","9v6kp3yc","Mobile Food","06-11-2024","COA - TAQUERIA LA DIVINA","23999", 
"NA","1224 S LAMAR BLVD, AUSTIN, TX 78704","9v6kp7e5","Mobile Food","06-27-2023","COA - TRIPPY TACOS #2","22493", 
"NA","5301 N LAMAR BLVD, AUSTIN, TX 78751","9v6s2pgc","Mobile Food","03-27-2023","COA - LETTY'S TACOS ","995905", 
"(512) 373-0096","1101 REINLI ST, AUSTIN, TX 78723","9v6s2wy4","Mobile Food","10-10-2023","COA - ESMERALDA'S FOOD","23005", 
"NA","325 E 6TH ST, AUSTIN, TX 78701","9v6kpvuj","Mobile Food","09-14-2023","COA - TACO WEY #3","22907", 
"NA","1190 CHICON ST, AUSTIN, TX 78702","9v6s0r42","Mobile Food","03-09-2024","OOB - COA - B & J'S GOOD EATS","20997", 
"(512) 787-3732","753 Montopolis, Austin, TX 78741","9v6ebwq9","Mobile Food","12-12-2023","COA - TAQUERIA YOLITA","23104", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","05-29-2024","COA - UNIT NP312","8072", 
"NA","1720 BARTON SPRINGS RD, AUSTIN, TX 78704","9v6kpm71","Mobile Food","05-16-2024","COA - CANNONE #1","23903", 
"NA","1108 E 12TH ST AUSTIN, TX 78702 ","9v6s0nux","Mobile Food","07-18-2023","COA - ENSENADA [22609] ","658669", 
"NA","1311 S 1ST ST, AUSTIN, TX 78704","9v6kpdcr","Mobile Food","05-07-2024","COA - BANANARCHY","23728", 
"(512) 679-9165","13422 DESSAU RD, AUSTIN, TX 78660","9v6sfnyc","Mobile Food","08-25-2023","COA - LUCY MEXICAN FOOD #2","22247", 
"NA","10104 N LAMAR BLVD, AUSTIN, TX 78753","9v6sbby5","Mobile Food","08-08-2023","COA - TAQUERIA LA LUNA","22439", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","05-29-2024","COA - UNIT CP121","8031", 
"(512) 587-7202","5000 BURNET RD, AUSTIN, TX 78756","9v6krzu3","Mobile Food","04-03-2024","COA - MERRY MONARCH CREAMERY","22689", 
"NA","5700 MANCHACA RD, AUSTIN, TX 78745","9v67ykxc","Mobile Food","03-02-2023","COA - GROOVY SNO N COFFEE","22111", 
"NA","823 CONGRESS AVE, AUSTIN, TX 78701","9v6kpydc","Mobile Food","07-20-2023","COA - CHI'LANTRO BBQ CONGRESS TRAILER","22577", 
"NA","9313 ANDERSON MILL RD AUSTIN, TX 78729 ","9v6mnz7c","Mobile Food","02-13-2024","COA - CHATPATTI CHAAT","23523", 
"NA","501 NECHES ST, AUSTIN, TX 78701","9v6kpvv0","Mobile Food","09-05-2023","COA - THREE B'S TACOS #2","22535", 
"(512) 644-0337","7216 W SH 71, AUSTIN, TX 78735","9v6kh8ry","Mobile Food","06-11-2024","COA - TAQUERIA LAS PALMAS","24001", 
"(929) 217-5198","10901 DOMAIN DR, AUSTIN, TX 78758","9v6sbjnp","Mobile Food","06-05-2024","WOW POKE 3","23712", 
"NA","902 E CESAR CHAVEZ ST, AUSTIN, TX 78702","9v6kpuzk","Mobile Food","08-26-2023","COA - J'S HIBACHI","21021", 
"(203) 982-7762","701 E 53RD ST AUSTIN, TX 78751 ","9v6s2qsz","Mobile Food","12-19-2023","COA - BISTRO VONISH","23121", 
"NA","6816 N FM 620 RD, AUSTIN, TX 78732","9v6kvnxc","Mobile Food","02-01-2024","COA - BUSSIN BUNS #4","23298", 
"(512) 662-9168","539 OLTORF ST , AUSTIN, TX 78704","9v6kp8kr","Mobile Food","02-27-2024","COA - HALAL HUB","23544", 
"(210) 763-5866","2056 W STASSNEY LN, AUSTIN, TX 78745","9v67ysbd","Mobile Food","03-28-2024","COA - EL MARISQUERO SEAFOOD #1","23684", 
"NA","2118 S CONGRESS AVE, AUSTIN, TX 78704","9v6kp96w","Mobile Food","05-09-2024","COA - MANGODNESS LLC","23718", 
"NA","3504 MONTOPOLIS DR, AUSTIN, TX 78744","9v6eb7jw","Mobile Food","03-21-2024","COA - HOT TACOS #1","23640", 
"NA","729 E SLAUGHTER LN, AUSTIN, TX 78744","9v67x42t","Mobile Food","07-31-2023","COA - FRESH GYRO HALAL LLC 4","22608", 
"(512) 900-5818","440 E ST ELMO RD STE F AUSTIN, TX 78745 ","9v67zku0","Mobile Food","05-28-2024","COA - HUCKLEBERRY","23579", 
"NA","7200 MANCHACA RD, AUSTIN, TX 78745","9v67y3dr","Mobile Food","02-03-2024","COA - MAMIS TACOS","22489", 
"NA","3108 MANOR RD, AUSTIN, TX 78723","9v6s29t4","Mobile Food","11-30-2023","COA - KG BBQ","23066", 
"(832) 638-4439","7800 S 1ST ST, AUSTIN, TX 78745","9v67wxn4","Mobile Food","10-25-2023","SONG LA","23145", 
"NA","3001 INDUSTRIAL TER AUSTIN, TX 78758 ","9v6sb47m","Mobile Food","03-07-2024","COA - CANTINA","23601", 
"NA","15501 E US 290 HWY EB, MANOR, TX 78621","9v6stvhy","Mobile Food","03-14-2023","MN - AUSTIN TRAILER #3 ","854507", 
"NA","1637 E RIVERSIDE DR, AUSTIN, TX 78741","9v6s01fe","Mobile Food","05-24-2024","COA - ARTURO'S TACOS #2 ","413215", 
"NA","500 COMAL ST, AUSTIN, TX 78702","9v6s0jjk","Mobile Food","02-29-2024","BOMB TACOS #4","23538", 
"(512) 450-4989","707 E BRAKER LN Unit 201, AUSTIN, TX 78753","9v6sc3ck","Mobile Food","11-19-2023","LA MONTANA MOVIL","21383", 
"NA","2420 GUADALUPE ST, AUSTIN, TX 78705","9v6krcfd","Mobile Food","08-22-2023","COA - BANANARCHY #2","22727", 
"NA","8504 S CONGRESS AVE, AUSTIN, TX 78745","9v67wuf8","Mobile Food","02-21-2023","COA - LOS DANZANTES ATX","21936", 
"(512) 673-7272","5330 MANCHACA RD, AUSTIN, TX 78745","9v67ysfx","Mobile Food","05-09-2024","COA - WEIRD FOOD","2", 
"(512) 227-0875","3409 E 5TH ST, AUSTIN, TX 78702","9v6s0et7","Mobile Food","06-22-2023","COA - TAQUERIA FENIX","22443", 
"NA","1311 S 1ST ST, AUSTIN, TX 78704","9v6kpdcr","Mobile Food","09-19-2023","COA - LITTLE NISHI","22780", 
"(917) 652-1835","1108 E 12TH ST AUSTIN, TX 78702 ","9v6s0nux","Mobile Food","10-05-2023","COA - SAMMATARO'S","22676", 
"NA","9308 N LAMAR BLVD, AUSTIN, TX 78753","9v6s8z60","Mobile Food","05-18-2023","COA - TACOS EL CHARLY #2 ","105317", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","05-29-2024","COA - UNIT BP107","8034", 
"NA","909 N LAMAR BLVD, AUSTIN, TX 78703","9v6kpx6b","Mobile Food","01-18-2024","COA - SHOAL CREEK SALOON CRAWFISH TRAILER #2","7984", 
"NA","519 E 7TH ST, AUSTIN, TX 78701","9v6kpvvz","Mobile Food","03-09-2024","COA - DITTY DOG #2","22855", 
"(512) 517-5485","817 W 5TH ST, AUSTIN, TX 78703","9v6kpw6m","Mobile Food","02-27-2024","COA - SUPER BURRITO ON 5TH","23504", 
"(512) 701-1289","5629 N LAMAR BLVD, AUSTIN, TX 78751","9v6s80qn","Mobile Food","10-30-2023","COA - DALIA'S TEX MEX FOOD","22870", 
"NA","75 RAINEY ST, AUSTIN, TX 78701","9v6kpuku","Mobile Food","08-22-2023","COA - SHAWARMA POINT #3","22823", 
"NA","2213 JUSTIN LN, AUSTIN, TX 78757","9v6kxun6","Mobile Food","01-23-2024","COA - TRES MONARCAS","23335", 
"NA","2714 GUADALUPE ST, AUSTIN, TX 78705","9v6krfde","Mobile Food","05-30-2023","COA - CAMPUS PIZZA & WINGS","22364", 
"NA","11320 FM 2222 RD, AUSTIN, TX 78726","9v6mj9e7","Mobile Food","04-06-2023","COA - KOMAL LATIN KITCHEN BAR LLC","22255", 
"NA","4925 CRAIGWOOD DR, AUSTIN, TX 78725","9v6s39n7","Mobile Food","03-09-2023","COA - EVERYDAY'S SUNDAY EATERY AND MORE LLC ","425091", 
"NA","1700 S LAMAR BLVD, AUSTIN, TX 78704","9v6kp709","Mobile Food","01-22-2024","COA - FLAVIA'S KITCHEN #2","23256", 
"NA","1710 MONTOPOLIS DR AUSTIN, TX 78741 ","9v6ebwx5","Mobile Food","12-20-2023","COA - TAQUERIA EL COMPA","22318", 
"(737) 618-9181","4700 BURLESON RD, AUSTIN, TX 78744","9v6ebh4e","Mobile Food","06-01-2023","COA - CHIVATA #3","22335", 
"NA","2901 S CAPITAL OF TEXAS HWY NB STE TT59 AUSTIN, TX 78746 ","9v6knk4v","Mobile Food","12-20-2023","COA - MANGO BICHE MIA","22722", 
"(512) 587-0361","2214 E 7TH ST, AUSTIN, TX 78702","9v6s0kuy","Mobile Food","02-06-2024","COA - HAY ELOTES!","22906", 
"NA","4301 DUVAL ST, AUSTIN, TX 78751","9v6s2hy3","Mobile Food","04-27-2023","COA - SNOBELLY SHAVED ICE","22191", 
"NA","8315 BURNET RD, AUSTIN, TX 78757","9v6s8ps6","Mobile Food","05-23-2024","COA - PEDROSO'S PIZZA 1","23876", 
"NA","10555 E US 290 HWY EB, MANOR, TX 78653","9v6sshb7","Mobile Food","01-20-2023","MN - MR. MOMO","21473", 
"NA","8807 N LAMAR BLVD, AUSTIN, TX 78753","9v6s8y0r","Mobile Food","04-30-2024","OOB COA - QUERENCIA SEA FOOD","22696", 
"NA","13525 DESSAU RD, AUSTIN, TX 78660","9v6sfpp0","Mobile Food","01-24-2024","COA - ANTOJITOS LA MONARCA","22930", 
"(786) 409-9169","1720 BARTON SPRINGS RD, AUSTIN, TX 78704","9v6kpm71","Mobile Food","05-16-2024","COA - HAVE A TACO PICNIC","23899", 
"NA","520 W 6TH ST, AUSTIN, TX 78701","9v6kpwqn","Mobile Food","02-15-2024","COA - NEW ONE TACO, LLC","23515", 
"NA","1500 E 6TH ST, AUSTIN, TX 78702","9v6s0jm1","Mobile Food","06-29-2023","COA - HOTEL VEGAS CONCESSION LLC","22597", 
"(954) 497-2715","1001 METRIC BLVD AUSTIN, TX 78758 ","9v6sbwr1","Mobile Food","03-14-2024","COA - BACKDRAFT PIZZERIA","23648", 
"NA","422 E 6TH ST, AUSTIN, TX 78701","9v6kpvvn","Mobile Food","03-13-2024","COA - HALAL GYRO EXPRESS","23511", 
"(713) 376-4229","1309 W 45TH ST, AUSTIN, TX 78756","9v6krydy","Mobile Food","08-15-2023","COA - ASADOS TAQUERIA","22682", 
"NA","2510 S CONGRESS AVE, AUSTIN, TX 78704","9v6kp88f","Mobile Food","09-28-2023","COA - LOCAL ATX AUXILIARY 1","21518", 
"NA","2027 E CESAR CHAVEZ ST, AUSTIN, TX 78702","9v6s07bw","Mobile Food","03-26-2024","COA - C-SPOT","23379", 
"NA","2027 S LAMAR BLVD, AUSTIN, TX 78704","9v6kp4x0","Mobile Food","04-18-2024","COA - GRINGO LOCO","23825", 
"(512) 985-7079","85 RAINEY ST, AUSTIN, TX 78701","9v6kput6","Mobile Food","12-07-2023","COA - FRESH GYRO HALAL 2","22948", 
"NA","1720 BARTON SPRINGS RD, AUSTIN, TX 78704","9v6kpm71","Mobile Food","02-27-2024","COA - CANNONE #7","22389", 
"NA","2324 E CESAR CHAVEZ ST, AUSTIN, TX 78702","9v6s07g8","Mobile Food","01-04-2024","COA - VEGAN NOM #2","21218", 
"(512) 634-7944","11100 RENEL DR UNIT B AUSTIN, TX 78758 ","9v6sbg5c","Mobile Food","11-28-2023","COA - EL DIABLITO","23109", 
"(512) 696-6459","8605 N LAMAR BLVD, AUSTIN, TX 78753","9v6s8tye","Mobile Food","05-14-2024","COA - TAQUERIA ACUNA","23714", 
"(512) 579-6445","12030 N LAMAR BLVD, AUSTIN, TX 78753","9v6schy5","Mobile Food","02-01-2024","COA - TORTAS EL KIOSKO","23302", 
"(512) 762-3081","3501 GUADALUPE ST, AUSTIN, TX 78705","9v6kruhv","Mobile Food","04-16-2024","COA - TAQUERIA DOS AMIGOS 2","23703", 
"NA","1045 NORWOOD PARK BLVD, AUSTIN, TX 78753","9v6s8fy6","Mobile Food","09-05-2023","COA - JSK DONUTS","22531", 
"NA","1309 ROSEWOOD AVE, AUSTIN, TX 78702","9v6s0nnx","Mobile Food","08-15-2023","MICKLETHWAIT CRAFT MEATS","22709", 
"NA","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","02-24-2024","COA - UNIT DP133","7978", 
"(512) 317-6111","2701 E 7TH ST, AUSTIN, TX 78702","9v6s0s88","Mobile Food","12-28-2023","COA - HELLO FRUIT #2","22939", 
"NA","1530 BARTON SPRINGS RD, AUSTIN, TX 78704","9v6kpmh3","Mobile Food","04-04-2024","COA - SI BABY-Q","23785", 
"NA","5106 NIXON LN, AUSTIN, TX 78725","9v6s600r","Mobile Food","08-22-2023","COA - FRESH FOOD","22829", 
"(512) 803-4144","9414 N LAMAR BLVD, AUSTIN, TX 78753","9v6s8zdx","Mobile Food","04-09-2024","COA - SNOW CONE SAVVOR TROPICAL","23805", 
"NA","2027 ANCHOR LN , AUSTIN, TX 78723","9v6s29wx","Mobile Food","01-10-2023","COA - RAMEN TATSU-YA COMAL, LLC","7842", 
"NA","6401 FM 969 RD AUSTIN, TX 78724 ","9v6s39jf","Mobile Food","12-28-2023","COA - HELLO FRUIT #3","22940", 
"NA","401 E 7TH ST AUSTIN, TX 78701 ","9v6kpyhc","Mobile Food","04-14-2024","COA - TEXAS CONCESSIONS","22558", 
"NA","701 PROVINES DR, AUSTIN, TX 78753","9v6sc1c6","Mobile Food","05-23-2023","COA - TACOS EL CHILANGO #4","22390", 
"NA","75 RAINEY ST, AUSTIN, TX 78701","9v6kpuku","Mobile Food","03-17-2023","COA - HAPPY LOBSTER TRUCK","21459", 
"NA","12251 RUNNING BIRD LN AUSTIN, TX 78758 ","9v6sbzwz","Mobile Food","07-06-2023","COA - WHOLESOME GENERATION","22554", 
"NA","6108 E RIVERSIDE DR, AUSTIN, TX 78741","9v6ebwmp","Mobile Food","02-06-2024","COA - DELMY'S PUPUSERIA 2","23278", 
"NA","9310 N LAMAR BLVD, AUSTIN, TX 78753","9v6s8z64","Mobile Food","05-23-2024","COA - AY CARBON BY USTA KABABGY","23875", 
"(512) 540-5808","214 E ANDERSON LN WB, AUSTIN, TX 78753","9v6s8eyn","Mobile Food","01-09-2024","COA - FILTHY DOGS","23314", 
"NA","4110 S 1ST ST, AUSTIN, TX 78745","9v67znm6","Mobile Food","08-22-2023","COA -TAQUERIA JEFES #3","22828", 
"(623) 826-6447","5002 HAMILTON LN, AUSTIN, TX 78759","9v6kzwwz","Mobile Food","05-02-2024","COA - SOPA DE FIDEO","23048", 
"NA","6901 N FM 620 RD, AUSTIN, TX 78730","9v6kvq2r","Mobile Food","11-28-2023","COA - FAR EAST FAR WEST","22647", 
"NA","1111 E 6TH ST, AUSTIN, TX 78702","9v6s0j6t","Mobile Food","09-19-2023","COA - JEWBOY SLIDERS","22789", 
"(737) 228-7098","6307 CAMERON RD, AUSTIN, TX 78723","9v6s2zsv","Mobile Food","11-21-2023","COA - ANTOJITOS DANIELA","22628", 
"(512) 577-4872","2027 E CESAR CHAVEZ ST, AUSTIN, TX 78702","9v6s07bw","Mobile Food","04-18-2024","COA - EVEREST FOOD TRUCK #3","23692", 
"NA","8403 MESA DR, AUSTIN, TX 78759","9v6kz9dr","Mobile Food","09-28-2023","COA - NACHO AVERAGE FOOD TRUCK","23019", 
"NA","12709 N MOPAC EXPY NB, AUSTIN, TX 78727","9v6t0drx","Mobile Food","01-26-2024","COA - CONNOR'S CREAMERY II ","457296", 
"NA","6600 BURLESON RD, AUSTIN, TX 78744","9v6ebd2s","Mobile Food","02-09-2023","COA - TAQUERIA OJOS AZULES","21810", 
"NA","7800 S 1ST ST, AUSTIN, TX 78745","9v67wxn4","Mobile Food","02-06-2024","RAD-DISH #2, THE","23279", 
"NA","4301 DUVAL ST, AUSTIN, TX 78751","9v6s2hy3","Mobile Food","07-27-2023","COA - EL SALSIVA","22474", 
"NA","2718 GUADALUPE ST, AUSTIN, TX 78705","9v6krfdt","Mobile Food","07-20-2023","COA - ASIAN EXPRESS #2","21843", 
"NA","10901 DOMAIN DR, AUSTIN, TX 78758","9v6sbjnp","Mobile Food","06-05-2024","COA - BABBO FELIPPO","23301", 
"NA","7900 S CONGRESS AVE, AUSTIN, TX 78745","9v67wvgz","Mobile Food","03-27-2023","TITO'S EL CHILE RICO ","697706", 
"(737) 900-6545","2300 E BEN WHITE BLVD SVRD WB AUSTIN, TX 78741 ","9v67zutn","Mobile Food","05-28-2024","COA - MICHELADAS EL GUERO LLC #","23857", 
"NA","4719 S CONGRESS AVE, AUSTIN, TX 78745","9v67zhq8","Mobile Food","12-12-2023","TAQUERIA LA CASITA DEL PASTOR","23132", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","05-29-2024","COA - UNIT BP120","8032", 
"(325) 656-5929","121 PICKLE RD, AUSTIN, TX 78704","9v67zqew","Mobile Food","05-30-2024","COA - LEROY AND LEWIS BBQ","23747", 
"NA","10601 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc13s","Mobile Food","05-21-2024","COA - PANADERIA SAN JUAN","23963", 
"(512) 767-8653","10706 N MOPAC EXPY SB, AUSTIN, TX 78759","9v6sbj8d","Mobile Food","05-21-2024","COA - TAQUERIA GUERRERO NAVA #2","23888", 
"NA","10701 MANCHACA RD, AUSTIN, TX 78748","9v67tg4k","Mobile Food","07-05-2023","COA - ROLLING SNOWBALLS","21979", 
"(315) 415-8150","411 W 23RD ST, AUSTIN, TX 78705","9v6krc6n","Mobile Food","02-20-2024","COA - MEAT YOUR HEART LLC","23489", 
"NA","1505 TOWN CREEK DR, AUSTIN, TX 78741","9v6s01m6","Mobile Food","02-13-2024","COA - BULLY BAGEL CO.","23561", 
"NA","1108 E 12TH ST AUSTIN, TX 78702 ","9v6s0nux","Mobile Food","07-11-2023","COA - ALI GYRO HALAL","22565", 
"NA","5313 MANOR RD, AUSTIN, TX 78723","9v6s3h5c","Mobile Food","12-07-2023","COA - EL BUEN TAQUERO","23137", 
"NA","5000 BURNET RD, AUSTIN, TX 78756","9v6krzu3","Mobile Food","01-18-2024","COA - DAWA SUSHI","22434", 
"NA","2000 E CESAR CHAVEZ ST, AUSTIN, TX 78702","9v6s0k05","Mobile Food","01-03-2023","COA - TEXSUENO","21731", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","05-29-2024","COA - UNIT BP119","8075", 
"NA","1720 BARTON SPRINGS RD, AUSTIN, TX 78704","9v6kpm71","Mobile Food","12-14-2023","COA - ATX CUCINA #4","22945", 
"NA","7545 N LAMAR BLVD, AUSTIN, TX 78752","9v6s87y7","Mobile Food","02-02-2024","COA - AREPAS GRILL ","402134", 
"NA","2101 MANOR RD , AUSTIN, TX 78722","9v6s2342","Mobile Food","11-07-2023","COA - THAI THANI","22995", 
"NA","11300 N IH 35 SVRD SB, AUSTIN, TX 78753","9v6sc644","Mobile Food","05-11-2024","COA - TAQUERIA GARDENIA #1","23694", 
"NA","6900 N FM 620 RD, AUSTIN, TX 78732","9v6kvq8h","Mobile Food","05-02-2023","COA - MARINA'S PIZZA","22288", 
"(512) 545-1201","2011 WHITIS AVE, AUSTIN, TX 78705","9v6krbg7","Mobile Food","10-10-2023","COA - GYRO DELICIOUS","22804", 
"NA","1300 E 6TH ST, AUSTIN, TX 78702","9v6s0j7t","Mobile Food","02-22-2024","COA - TACO WEY # 2","23507", 
"(512) 789-0937","2020 E CESAR CHAVEZ ST, AUSTIN, TX 78702","9v6s0k03","Mobile Food","02-13-2024","COA - BUCKETS TO GO","22102", 
"NA","7811 S 1ST ST, AUSTIN, TX 78745","9v67wwy5","Mobile Food","03-12-2024","COA - TACOS LAS AMAZONAS ESTILO JALISCO","23596", 
"(512) 699-9843","30 N IH 35 SVRD SB, AUSTIN, TX 78701","9v6kpgtv","Mobile Food","04-16-2024","COA - UN TACO MAS","23791", 
"NA","8800 FM 969 RD, AUSTIN, TX 78724","9v6s4r2n","Mobile Food","06-13-2024","COA - POLLOS ASADOS LA CASA DEL SABOR","23987", 
"(940) 453-4982","12233 N FM 620 RD, AUSTIN, TX 78750","9v6mq1t8","Mobile Food","08-24-2023","OOB - COA - FAIRY FREEZE","22737", 
"(512) 565-6029","7701 CAMERON RD, AUSTIN, TX 78752","9v6s91dy","Mobile Food","10-31-2023","COA - POLLOS ASADOS EL JEFECITO","22574", 
"(512) 412-2156","2301 W PARMER LN, AUSTIN, TX 78727","9v6t0c31","Mobile Food","02-20-2024","COA - BODHI VIET VEGAN","23509", 
"NA","1434 W WELLS BRANCH PKWY, AUSTIN, TX 78660","9v6t1tgj","Mobile Food","11-28-2023","COA - MALONE SPECIALTY COFFEE LLC #2","22635", 
"(512) 571-1306","10601 N LAMAR BLVD, AUSTIN, TX 78753","9v6sc13s","Mobile Food","01-04-2024","COA - AL GUSTO FOOD LLC","23324", 
"NA","2002 SAN ANTONIO ST TX 78705 ","9v6krbcx","Mobile Food","11-06-2023","COA - TAQUERIA LAS TRES HERMANAS","22180", 
"NA","7207 E RIVERSIDE DR, AUSTIN, TX 78741","9v6ebvkz","Mobile Food","06-11-2024","COA - SUZY FOOD","23997", 
"NA","12430 N LAMAR BLVD, AUSTIN, TX 78753","9v6scr2w","Mobile Food","02-06-2023","COA - PRIME MART","21012", 
"(512) 586-3547","3225 AMY DONOVAN PLZ, AUSTIN, TX 78758","9v6sbjkw","Mobile Food","03-26-2024","COA - BEIRUT","23378", 
"NA","711 W 6TH ST AUSTIN, TX 78701 ","9v6kpwkq","Mobile Food","01-04-2024","COA - GYRO DELICIOUS 2","23322", 
"NA","318 E 5TH ST, AUSTIN, TX 78701","9v6kpvgg","Mobile Food","10-09-2023","COA - MALONE SPECIALTY COFFEE","22858", 
"(512) 569-7854","121 PICKLE RD, AUSTIN, TX 78704","9v67zqew","Mobile Food","11-21-2023","COA - PUEBLO VIEJO MEXICAN FOOD #3","23097", 
"NA","4304 CLAWSON RD AUSTIN, TX 78704 ","9v67yz58","Mobile Food","12-21-2023","COA - RADFISH","22915", 
"NA","6300 BURLESON RD, AUSTIN, TX 78744","9v6eb6v9","Mobile Food","12-14-2023","COA - EL SABOR DEL TROPICO","23128", 
"NA","9313 ANDERSON MILL RD AUSTIN, TX 78729 ","9v6mnz7c","Mobile Food","03-19-2024","COA - SHOYU SUGAR LLC","23643", 
"NA","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","05-29-2024","COA - UNIT CP119","8076", 
"NA","7207 E RIVERSIDE DR AUSTIN, TX 78741 ","9v6ebvkz","Mobile Food","06-08-2023","COA - MI PRIMER SUENO","22471", 
"NA","7309 McNeil Dr., Austin, Texas 78729","9v6mpk82","Mobile Food","05-02-2024","COA - SUPER BURRITO","23657", 
"(512) 296-8073","1421 E RUNDBERG LN AUSTIN, TX 78753 ","9v6s9m1z","Mobile Food","01-30-2024","COA - TAQUERIA ARCADIO","23306", 
"NA","2403 E SH 71 WB, AUSTIN, TX 78617","9v6et3tk","Mobile Food","04-30-2024","COA - HENRY'S BARBECUE","23660", 
"NA","8645 RESEARCH BLVD NB, AUSTIN, TX 78758","9v6s8rs9","Mobile Food","05-16-2024","COA - EL SABOR DE ME TIERRA CATRACHA","23965", 
"(737) 217-7065","11410 CENTURY OAKS TER , AUSTIN, TX 78758","9v6sbnmw","Mobile Food","06-06-2024","COA - DULCE CHURROS","24007", 
"(312) 664-8200","10414 MC KALLA PL, AUSTIN, TX 78758","9v6sb7fv","Mobile Food","02-24-2024","COA - UNIT IRP3 ","781439", 
"(936) 419-9027","9201 CIRCUIT OF THE AMERICAS BLVD, AUSTIN, TX 78617","9v6e6n1b","Mobile Food","04-20-2024","COTA - SANTA LUCIA GREEK GRILL","23708", 
